Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,0,2,1,1,0.4327284557022581,-1.4507730798870726,-0.541629726814756,120,0,0,1
1,1,3,1,1,0.1058180675072284,0.6853147157473539,-1.502356488098828,36,0,1,0
0,0,3,0,1,-0.6542822178022029,1.744909685568805,0.6392635839302495,36,1,2,0
0,1,1,1,0,0.01568228146168523,0.538203969468203,-0.4015237407941621,240,1,2,1
0,1,0,0,0,-0.7094399376211173,1.7260238465194546,-0.32146317735382274,36,1,0,0
1,0,3,1,0,-0.7760327944756604,0.8006177331012829,1.7200811903748308,120,0,1,1
0,1,1,1,1,-0.32804448472691594,0.7141404700858361,0.5792181613499949,60,1,0,1
0,1,2,1,0,-0.10943157081048663,-0.5034991528328109,0.31902133016889206,12,0,0,1
0,0,2,0,1,0.046624416969856766,0.29567003641338685,0.819399851671013,12,1,0,0
1,0,2,0,0,0.935874485269917,-0.017437295194265234,1.4198540774735582,12,0,2,1
0,0,2,1,0,-0.4914996788244308,-0.0512330071773134,-1.6224473332593372,120,0,2,0
0,0,1,1,0,0.21007961106737164,-0.24009139767081783,-0.5816600085349256,240,0,1,1
0,1,0,0,0,0.1307063069377142,0.236030544678596,-0.24140261391348336,120,1,1,1
0,0,1,0,1,-0.6024877735820027,-1.2768245623272658,-0.9819628257366223,12,0,0,0
1,0,0,0,0,0.08563841391494262,0.8185095806217202,-0.28143289563365304,120,1,1,0
0,0,2,1,0,1.0233196508364888,-0.860342111712643,-1.5624019106790827,120,1,1,1
1,0,3,0,1,0.19931712915148586,-0.23710942308407829,0.9194755559714372,120,1,1,0
1,0,3,0,1,0.23967643633605745,0.34039965521448,-0.5216145859546711,60,1,0,1
1,1,3,0,0,-0.7000227659447172,-0.910041688158302,0.19893048500838306,120,1,0,0
0,0,0,0,0,1.9979969193438922,-1.9427988866990973,0.038809358127704356,240,0,2,0
1,1,2,0,1,-0.6428470807665743,-0.3693102964295314,0.5391878796298253,60,0,0,0
0,0,1,0,1,-1.6713367588534063,-1.4110134187305454,-2.483098390242985,120,0,2,1
1,0,3,0,0,0.8793714552115168,0.7201044192593152,0.4391121753294011,36,0,1,0
1,0,0,1,1,-0.10472298497228662,-1.134683773692681,-0.28143289563365304,12,1,1,0
1,0,3,0,1,-0.294411728739773,1.4884598711092043,0.3990818936092314,60,1,0,1
1,0,1,1,0,-0.5392581923261739,0.006418501499651117,-1.1821142343374706,36,0,2,1
1,0,2,1,0,1.8997892718614346,0.0710279508790079,0.3990818936092314,12,1,1,0
1,0,1,0,0,0.36882621932668647,-1.956714768103882,1.2797480914529642,240,1,1,1
1,0,2,1,1,0.5659141694113443,0.1555172308366283,0.1789153441482982,36,1,1,0
1,1,2,1,0,0.17510154484074292,-0.06813086316883747,-0.7217659945555195,240,0,2,1
0,0,2,0,0,0.2840716742390862,-1.2798065369140055,-0.6817357128353498,240,0,2,1
0,1,3,1,0,1.4222041368440044,0.09885971368857698,0.5592030204899101,36,1,0,0
1,0,1,0,1,-0.24194462939982994,-0.38322617783431595,0.5592030204899101,36,1,0,1
1,1,3,0,0,-1.4587777410146627,-0.20331371110103014,0.33903647102897694,60,1,1,1
1,0,1,0,0,0.8874433166484311,0.03723223889595974,-0.04125120531263499,240,0,1,0
0,0,0,0,1,0.5127744149516584,-0.45678155097389134,0.19893048500838306,36,0,0,0
1,0,0,0,1,0.11994382502182846,0.2569043667857728,-0.08128148703280466,240,1,2,0
0,1,1,0,0,0.4865408652816869,-0.07409481234231656,-0.4015237407941621,120,1,2,1
0,1,1,0,0,-0.3630225509535447,0.48154645232015175,0.7393392882306736,120,0,2,0
0,1,1,1,0,0.03249865945525672,-0.5134390681219426,0.29900618930880724,120,0,0,1
0,1,1,0,1,-0.1215393629658581,-1.0462185276194078,1.2797480914529642,240,0,2,0
0,0,2,1,0,-0.5856713955884312,-0.6923575433263153,1.0996118237122008,240,0,0,1
1,0,3,0,0,1.2109904292447466,1.4457182353659375,0.2589759075886376,36,1,1,0
1,0,2,0,1,-1.4137098479918913,0.9616443607852183,0.5792181613499949,36,1,2,0
1,1,3,0,1,2.3935181297526937,1.218094175244819,-0.9619476848765375,60,0,2,0
1,0,3,1,0,0.8968604883248311,1.2866795907398285,-0.08128148703280466,60,0,0,0
1,1,3,1,1,-1.7823248536109781,-0.4518115933293254,0.33903647102897694,60,1,2,0
0,1,2,1,0,-0.21503842461011557,0.30560995170251865,-1.6024321923992524,12,1,2,0
1,1,1,1,0,-0.15853539455171536,0.0869318153416188,0.4190970344693163,120,0,0,0
1,1,2,1,1,0.4064949060322866,0.6674228682269167,-0.9619476848765375,240,1,0,1
0,1,2,1,1,-0.9872465020749183,-0.27587509271169236,-0.8618719805761134,120,1,2,0
1,0,3,0,1,0.04393379649088533,0.10382967133314287,-0.541629726814756,240,1,1,1
0,1,0,0,1,-0.11077688104997235,0.08394984075487925,-0.04125120531263499,12,0,0,0
1,1,0,1,0,-0.7329828668121173,0.5411859440549426,-1.3422353612181495,240,1,0,1
0,0,2,1,1,-0.873567786838375,0.6634469021112639,0.8394149925310979,60,0,0,1
1,1,3,1,1,0.9385651057488884,0.10482366286205606,0.1589002032882134,120,0,0,0
1,1,2,1,0,-1.7002609290023494,0.1346434087294515,1.920232598975679,120,1,0,1
0,0,2,1,0,0.4932674164791155,0.236030544678596,0.29900618930880724,120,0,0,0
0,0,1,0,0,0.816141873955688,1.6484925072642265,0.5592030204899101,12,0,0,0
0,0,3,0,1,-0.20898452853242983,-1.7072228943466734,-0.8618719805761134,120,1,2,0
0,1,0,0,0,0.06411345008317111,-0.9517893323726556,-1.2021293751975555,36,1,1,1
0,0,0,0,1,1.1854295346945178,0.6813387496317012,0.5992333022100798,60,0,1,1
0,0,0,0,1,-0.7000227659447172,0.27976617195077597,-1.1020536708971314,60,1,1,1
0,0,2,0,1,-0.5957612223845741,0.2728082312483837,0.6392635839302495,240,0,0,0
